鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區建和路一段391~420號,17.58,住,,,1090211,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040416,122.22,2,2,1,有,有,7000000,57274,坡道機械,0.0,0,,RPOOMLSJMHPFFBB08CA
北區,土地,乾溝子段121~150地號,76.0,住,,,1090226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13794000,181500,,0.0,0,"含未登記建物總價1,609,300元。因本案四份契約交易日期不一致，故以公契日期為交易日期，私契日期為108年12月29日。",RPQPMLTJMHPFFBB48CA
北區,土地,乾溝子段121~150地號,25.33,住,,,1090226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4596000,181445,,0.0,0,因本案四份契約交易日期不一致，故以公契日期為交易日期，私契日期為108年12月29日。,SPQPMLTJMHPFFBB58CA
北區,土地,乾溝子段121~150地號,25.33,住,,,1090226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4596000,181445,,0.0,0,因本案四份契約交易日期不一致，故以公契日期為交易日期，私契日期為108年12月17日。,TPQPMLTJMHPFFBB68CA
北區,土地,乾溝子段121~150地號,25.33,住,,,1090226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4596000,181445,,0.0,0,因本案四份契約交易日期不一致，故以公契日期為交易日期，私契日期為108年12月13日。,UPQPMLTJMHPFFBB78CA
西屯區,房地(土地+建物)+車位,臺中市西屯區成都路271~300號,11.31,住,,,1090213,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830627,169.46,3,2,2,有,有,6500000,38357,坡道機械,0.0,0,,RPXOMLLMLHPFFCB58CA
西屯區,房地(土地+建物)+車位,臺中市西屯區河南路二段241~270號,25.05,住,,,1081228,土地1建物1車位1,十二層,十三層,辦公商業大樓,商業用,鋼筋混凝土造,0800613,218.69,4,1,0,有,有,11750000,53729,坡道機械,0.0,0,,RPVNMLLMLHPFFCB28CA
西屯區,房地(土地+建物),臺中市西屯區西屯路二段271~300號,4.93,住,,,1090210,土地2建物1車位0,九層,九層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830523,36.36,1,0,1,有,有,1900000,52255,,0.0,0,,RPPNMLLJMHPFFCB47CA
南屯區,房地(土地+建物)+車位,臺中市南屯區向上路三段61~90號,8.91,其他,,,1090227,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840112,107.53,3,2,2,有,有,6350000,59053,坡道機械,0.0,0,,RPPPMLLJMHPFFCB67CA
西屯區,房地(土地+建物)+車位,臺中市西屯區福星路1~30號,29.7,住,,,1090229,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051223,208.84,3,2,2,有,有,17250000,82599,坡道平面,44.64,0,,RPSQMLLJMHPFFCB08CA
西屯區,房地(土地+建物),臺中市西屯區永昌街1~30號,20.54,住,,,1090216,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831029,109.15,2,2,1,有,有,5600000,51306,,0.0,0,,RPRNMLPJMHPFFCB08CA
西屯區,房地(土地+建物),臺中市西屯區長安路二段1~30號,25.07,住,,,1090118,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710727,102.8,3,2,2,有,無,4860000,47276,,0.0,0,,RPPNMLLMLHPFFCB67CA
西屯區,房地(土地+建物)+車位,臺中市西屯區青海南街211~240號,16.75,住,,,1090216,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020814,133.83999999999997,2,2,2,有,有,9400000,70233,坡道平面,39.36,0,,RPRNMLLMLHPFFCB87CA
西屯區,房地(土地+建物)+車位,臺中市西屯區國安一路121~150號,6.56,住,,,1090302,土地1建物1車位1,十七層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991119,78.72,2,2,1,有,有,6600000,83841,坡道機械,13.89,0,,RPSNMLLMLHPFFCB97CA
