鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新店區,房地(土地+建物),新北市新店區松林路1~30號,20.97,住,,,1090208,土地4建物1車位0,通道，三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0760916,70.00999999999999,1,1,1,有,有,2850000,40708,,0.0,0,,RPUSMLRLLHPFFCF96CA
新店區,房地(土地+建物)+車位,新北市新店區安民街361~390號,21.11,住,,,1090303,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980501,176.49,3,2,2,有,有,17600000,99722,坡道平面,38.95,0,,RPPNMLKMLHPFFCF97CA
新店區,房地(土地+建物)+車位,新北市新店區永安街109巷1~30號,27.31,住,,,1090308,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851017,161.84,4,2,2,有,有,13950000,86196,坡道平面,36.37,0,,RPPOMLQLLHPFFCF58CA
新店區,房地(土地+建物),新北市新店區安祥路110巷31~60號,39.31,,山坡地保育區,丙種建築用地,1081230,土地1建物1車位0,七層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850213,78.31,2,2,1,有,有,3600000,45971,,0.0,0,,RPXOMLPLLHPFFCF66CA
新店區,房地(土地+建物)+車位,新北市新店區安興路121~150號,40.97,其他,,,1090217,土地8建物1車位1,十三層,十四層,其他,見其他登記事項,見其他登記事項,1050406,109.77,0,0,0,無,有,10340000,90153,坡道平面,18.37,2100000,,RPPOMLLMLHPFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區安興路121~150號,44.95,其他,,,1090112,土地8建物1車位1,三層,十四層,其他,見其他登記事項,見其他登記事項,1050406,119.15,0,0,0,無,有,10930000,88609,坡道平面,18.37,2000000,,RPQOMLLMLHPFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區安興路121~150號,44.95,其他,,,1090219,土地8建物1車位1,九層,十四層,其他,見其他登記事項,見其他登記事項,1050406,119.15,0,0,0,無,有,11100000,90296,坡道平面,18.37,2000000,,RPROMLLMLHPFFCF38CA
新店區,房地(土地+建物),新北市新店區安民街156巷1~30號,7.56,住,,,1090215,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010223,58.010000000000005,2,1,1,有,有,7300000,125840,,0.0,0,,RPRPMLLJMHPFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區民族路31~60號,22.84,住,,,1061015,土地1建物1車位2,十一層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080611,277.14,4,2,3,有,有,38900000,176416,坡道平面,81.58,4400000,,RPRNMLOKMHPFFCF48CA
新店區,房地(土地+建物),新北市新店區平等街31~60號,39.5,住,,,1090224,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641118,111.24,3,2,2,有,無,11500000,103380,,0.0,0,含增建或未登記建物。;頂樓,RPUOMLOKMHPFFCF88CA
汐止區,房地(土地+建物),新北市汐止區宜興街61巷1~30號,29.17,,鄉村區,乙種建築用地,1090207,土地7建物1車位0,二層,二層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701226,84.81,5,3,2,有,有,9200000,108478,,0.0,0,含增建或未登記建物。;,RPSNMLQLLHPFFDF88CA
萬里區,房地(土地+建物),新北市萬里區孝三街1~30號,22.02,,鄉村區,乙種建築用地,1090221,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671221,76.0,2,2,1,有,無,1790000,23553,,0.0,0,,RPTNMLQLLHPFFDF98CA
汐止區,房地(土地+建物),新北市汐止區工建路121~150號,17.65,住,,,1090217,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030305,98.49000000000001,2,2,1,有,有,11400000,115748,,0.0,0,,RPVNMLQLLHPFFDF56CA
汐止區,房地(土地+建物),新北市汐止區東勢街201巷211~240號,82.71,,山坡地保育區,丙種建築用地,1090302,土地5建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0850104,155.41,3,2,3,有,有,8800000,56624,,0.0,0,含增建或未登記建物。;,RPXNMLQLLHPFFDF76CA
汐止區,房地(土地+建物)+車位,新北市汐止區樟樹二路61~90號,16.35,住,,,1090301,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050810,131.28,3,2,2,有,有,15300000,121016,坡道平面,23.03,2200000,,RPPNMLRLLHPFFDF68CA
汐止區,房地(土地+建物)+車位,新北市汐止區湖前街31巷1~30號,28.58,住,,,1071212,土地1建物1車位1,七層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090117,198.03,3,2,2,有,有,21580000,119829,坡道平面,34.63,2000000,,RPOOMLRLLHPFFDF68CA
新店區,房地(土地+建物)+車位,新北市新店區安泰路1~30號,36.77,住,,,1090212,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040921,104.6,2,2,1,有,有,8050000,76960,塔式車位,13.65,0,,RPXOMLKMMHPFFCF98CA
汐止區,房地(土地+建物),新北市汐止區祥雲街1~30號,48.73,,鄉村區,乙種建築用地,1090224,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700506,110.27,3,2,2,有,無,3700000,33554,,0.0,0,,RPRPMLRLLHPFFDF09CA
