鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區和平東路四段66巷1~30號,101.02,住,,,1090203,土地2建物2車位1,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860529,285.68,4,2,2,有,有,35000000,122515,坡道平面,46.64,0,親友、員工或其他特殊關係間之交易。;親友間之交易。,RPQOMLLJMHPFFAA37CA
內湖區,房地(土地+建物),臺北市內湖區文德路66巷14弄1~30號,16.9,住,,,1090303,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831123,70.05,2,2,1,有,有,15100000,215560,,0.0,0,,RPTNMLLJMHPFFCA77CA
松山區,房地(土地+建物)+車位,臺北市松山區北寧路61~90號,18.57,住,,,1090213,土地2建物1車位1,十層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780220,159.86,3,2,2,有,有,39800000,248968,坡道平面,0.0,0,,RPUOMLLJMHPFFDA08CA
大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段391~420號,31.49,住,,,1090229,土地2建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951113,195.94,2,2,1,有,有,31180000,159130,坡道平面,39.28,0,含增建或未登記建物。;,RPRNMLTJMHPFFFA68CA
大安區,房地(土地+建物),臺北市大安區信義路四段241~270號,12.3,商,,,1090227,土地2建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660519,135.11,2,2,2,有,有,36000000,266450,,0.0,0,,RPQOMLRLLHPFFFA58CA
士林區,房地(土地+建物),臺北市士林區忠誠路一段91~120號,26.79,住,,,1090309,土地3建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0770711,120.47,3,2,2,有,有,21000000,174317,,0.0,0,,RPSNMLLJMHPFFEA87CA
北投區,房地(土地+建物)+車位,臺北市北投區行義路1~30號,47.22,住,,,1081118,土地1建物2車位2,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020403,301.36,3,2,2,有,有,56000000,185824,坡道平面,0.0,0,,RPRNMLRLLHPFFEA48CA
松山區,房地(土地+建物),臺北市松山區南京東路五段211~240號,5.43,其他,,,1090223,土地1建物1車位0,六層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980331,67.48,2,1,1,有,有,17180000,254594,,0.0,0,,RPXOMLRLLHPFFDA09CA
中山區,房地(土地+建物)+車位,臺北市中山區林森北路571~600號,20.54,商,,,1090219,土地1建物1車位2,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,264.43,2,2,2,有,有,42000000,158832,坡道平面,78.36,0,,RPOPMLRKMHPFFCA18CA
中山區,房地(土地+建物)+車位,臺北市中山區新生北路二段62巷1~30號,12.85,商,,,1090309,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1050322,195.73000000000002,4,2,2,有,有,41200000,210494,坡道平面,33.33,0,,RPSRMLQKMHPFFCA68CA
